Auto/Manual,Eng.Capacity,HBC Cat. No.,Description,Title,ABI,Odometer Reading,Reg. number,image_urls,link,Location,Key,Year,Fueltype
7 Speed Auto,2987 (cc),7227606X,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. When Checked, Ran and Drove. Accident Damage, Power Steering issues, Engine is very noisy and has a rattle",MERCEDES-BENZ S350 L AMG LINE,Category N,114884,YG64YGH,"https://www.hbc.co.uk/assets/2018/05/18/7227606/img_6ff8pobe_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_rwvfonuf_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_m5ywrhei_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_ulhu1ae8_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_3qihcvq7_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_bj91inm3_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_cv_ile92_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_a5d42xrv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7227606/img_yrla_9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7227606/img_60pj_b_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7227606/img_evvlqc_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7227606/img_829dgt_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7227606/img_uduvdn_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_47yroeuh_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img__hbn3aym_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_2n260_ej_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_hadc57ie_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_nbcrmkzh_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_zvyzw6y1_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_zowpio18_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_dlktpj4x_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_iy7t4udk_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_ayribtxf_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_nnrikvr5_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_ffc6jkbk_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_thloq8ft_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_sw5y1olj_wm.jpg,https://www.hbc.co.uk/assets/2018/05/18/7227606/img_hz09t81u_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7227606X,HBC Agent Stafford,Yes,Manu: 2014,Diesel
Variable 1 Speed Auto,1896 (cc),7832074X,"When Checked, Ran and Drove. Accident Damage",AUDI A4 SPORT TDI(130,Category N,209726,GR03HRM,"https://hbcweblive.blob.core.windows.net/assets/7832074/img_kmsiso3b_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_jp98phbn_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_quj0ktbc_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_j_wqsui8_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_i828l5wc_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_6adq5zoo_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_v86l_e7v_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_rcb38f4s_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_sdf5wsxv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_m4iexogv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_fs4df3jq_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_273g07za_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_gnu7ej7d_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_892i6_3t_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_wuz9ul3k_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_kjwg61es_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_xtikgzqg_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_zfm66ylv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_x7pjwi1y_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_tnv6qy6a_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7832074/img_mtybowtc_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7832074X,Canvey Island,Yes,Manu: 2003,Diesel
6 Speed M,1598 (cc),7771918X,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. When Checked, Ran and Drove. Accident Damage",MINI COOPER,Category N,77785,WP10YPW,"https://hbcweblive.blob.core.windows.net/assets/7771918/img_hu2e64l1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_6yn591ep_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_oxyfq2v0_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_cd4qxzua_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_uf1z4t17_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_gomm7trl_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_m5j6kdsb_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_px49fsz8_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_qq1nxl_h_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_np94_fy1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_cz8bbuvu_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_vpuhaecx_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_31sqmrpt_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_62xwp71b_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_tjiqlks8_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_6qwbu_wk_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_ak9uol79_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_yg98unwb_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_pd4x79n4_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_0cwdnbhz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_bhzm0_jl_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_3fm0tkgg_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_c8q4p8h__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7771918/img_ihm00b_e_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7771918X,HBC Agent Stafford,Yes,Manu: 2010,Petrol
,,7754401,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. Stolen Recovered",Bailey Ranger,,,7754401Z,"https://hbcweblive.blob.core.windows.net/assets/7754401/img_4_qo6q_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_2c91c1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_cs_x6o_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_vh0_u8_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_kumc24_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_tot7e9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_t2inkr_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_f7iosh_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img__e9y5i_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_xxy83t_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_pcm5km_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_o1v15f_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_u3i5an_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_3giyoz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_3ujvhu_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_wxjnl9_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_z0zj9l_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_u44o_z_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_pmfjuz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_ogit1b_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_xk563f_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_zqrz9h_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_qobraw_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7754401/img_pv296d_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7754401,HBC Agent Stafford,No,-,
6 Speed Auto,1598 (cc),7728082,"When Checked, Ran and Drove. Accident Damage",VAUXHALL ASTRA SRI AUTO,Category N,13452,NK63THF,"https://hbcweblive.blob.core.windows.net/assets/7728082/img_1kc317_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_gaq4x6_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_z3nuek_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_zq1p4v_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_l0t10d_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_s0smc1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_dbpewo_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_29xorj_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_zdsnlj_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_bfp6vz_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_9qxmfn_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img__1g_k__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_s3koda_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_tx9j6q_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_o2b4j5_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_i4x68__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_ms_9ak_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7728082/img_8sfmo0_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7728082,Canvey Island,Yes,Manu: 2013,Petrol
6 Speed Manual,1998 (cc),7556368X,"When Checked, Engine Ran*. Accident Damage",CHEVROLET ORLANDO LS VCDI,Category S,53687,MW61HZS,"https://hbcweblive.blob.core.windows.net/assets/7556368/img_kp7jy7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_sluwzl_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_7qhe7a_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_2iog4t_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_h49sdb_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_1puc0d_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_l47myt_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_cfxh8p_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_rkknw7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_736ouf_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_mtk5ct_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_l6zi51_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_ipi8n2_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_6_es74_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_7dl4kq_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7556368/img_x7qb2q_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7556368X,Canvey Island,Yes,Manu: 2012,Diesel
6 Speed Manual,1560 (cc),7589344X,"When Checked, Ran and Drove. Accident Damage",CITROEN DS4 DSTYLE HDI,Category N,100761,YK13NKH,"https://hbcweblive.blob.core.windows.net/assets/7589344/img_wsygui_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_zr7gzs_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_6bfg0z_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_u1yzg1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_tqdlm0_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_140wxm_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_3s4_7z_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_u_ya1a_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_z7brk1_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img__0m7zs_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_1g5pxr_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_zechoo_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_hvut5i_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_kz0rqv_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_o4nh2w_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_4p5q14_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_ns8b2x_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/7589344/img_2wcu8a_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7589344X,Canvey Island,Yes,Manu: 2013,Diesel
5 Speed Manual,1461 (cc),7478498X,Engine Does Not Run. Accident Damage,RENAULT KANGOO ML19 DCI,Category S,99762,RK63WHE,"https://www.hbc.co.uk/assets/2018/12/04/7478498/img_xvw7qjc9_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_60fkho89_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_innwc6vp_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_dq_zb7ap_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_k7vkae1x_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_0r_uatxk_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_r2n03lj2_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_x7684swj_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_ev31iyoe_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_phwmp_4s_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_hp7ulari_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_vts6t7ta_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_ywdw2m4r_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_x9hl9f8k_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_iwht0hyy_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_kjm5pqu2_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_wcyr1mru_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_65s3gvy5_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_4irbluot_wm.jpg,https://www.hbc.co.uk/assets/2018/12/04/7478498/img_tm48e3oj_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=7478498X,Canvey Island,Yes,Manu: 2013,Diesel
,2987 (cc),8071755,Engine Does Not Run. Accident Damage,NMASERATI GHIBLI DV6 AUTO,Category S,18542,LN18THF,"https://hbcweblive.blob.core.windows.net/assets/8071755/img_ujq9pbe__wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_2a3gfbb5_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_t_0bs6u6_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_vt3sfc44_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_h8bzhrbm_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_8okl3sgr_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_nh033qxo_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_ko42boau_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_ljwq83vs_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_s5d4m5k8_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_loiulq55_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_kqthkvw7_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_gl6xq8sx_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_0n8xhvek_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_2h87znez_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_70xx4hle_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_sb33saaq_wm.jpg,https://hbcweblive.blob.core.windows.net/assets/8071755/img_whru6l3s_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8071755,Canvey Island,Yes,Manu: 2018,Diesel
6 Speed Manual,1910 (cc),8119687,"This vehicle is Located near Stafford; Pay before Collection,NO PAYMENT AT SITE. Engine Does Not Run. Accident Damage",VAUXHALL VECTRA SRI CDTI,Category S,141835,VO54KLZ,"https://www.hbc.co.uk/assets/2020/04/14/8119687/img_mv7_h00k_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_i34ahd6y_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_6uswz7u4_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_agvecrlc_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_uaipdvby_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_9h2m3ldo_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_ud3b5vkf_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_he9vnul0_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_yzybpo3c_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_l4lue2yt_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_a4vwptkn_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_34heayt0_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_nelpfko4_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_y0ofgsx3_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_ucgc4x_d_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_sr9_c6ml_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_mqr5rzo0_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_n0zuux5w_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_td5g03d4_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_d9ot2kx2_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_veeoktkq_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_9ztw3us9_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_fy1y2yvn_wm.jpg,https://www.hbc.co.uk/assets/2020/04/14/8119687/img_buygjyow_wm.jpg",https://www.hbc.co.uk/cgi-bin/zyview/D=vehicles/V=bidding/R=8119687,HBC Agent Stafford,Yes,Manu: 2004,Diesel
